#Tempo    Entrada    Saída
0.000000    0.000000     -0.000000
0.000000    8.124154     8.124154
0.000500    16.243231     16.243231
0.001000    24.352156     24.352156
0.001500    32.445862     32.445862
0.002000    40.519287     40.519287
0.002500    48.567394     48.567394
0.003000    56.585144     56.585144
0.003500    64.567535     64.567535
0.004000    72.509567     72.509567
0.004500    80.406288     80.406288
0.005000    88.252754     88.252754
0.005500    96.044067     96.044067
0.006000    103.775352     103.775352
0.006500    111.441788     111.441788
0.007000    119.038574     119.038574
0.007500    126.560959     126.560959
0.008000    134.004257     134.004257
0.008500    141.363800     141.363800
0.009000    148.634995     148.634995
0.009500    155.813293     155.813293
0.010000    162.894226     162.894226
0.010500    169.873352     169.873352
0.011000    176.746307     176.746307
0.011500    183.508804     183.508804
0.012000    190.156616     190.156616
0.012500    196.685577     196.685577
0.013000    203.091629     203.091629
0.013500    209.370743     209.370743
0.014000    215.519012     215.519012
0.014500    221.532593     221.532593
0.015000    227.407730     227.407730
0.015500    233.140732     233.140732
0.016000    238.728027     238.728027
0.016500    244.166138     244.166138
0.017000    249.451645     249.451645
0.017500    254.581253     254.581253
0.018000    259.551758     259.551758
0.018500    264.360046     264.360046
0.019000    269.003113     269.003113
0.019500    273.478058     273.478058
0.020000    277.782104     277.782104
0.020500    281.912537     281.912537
0.021000    285.866791     285.866791
0.021500    289.642395     289.642395
0.022000    293.236969     293.236969
0.022500    296.648285     296.648285
0.023000    299.874207     299.874207
0.023500    302.912689     302.912689
0.024000    305.761902     305.761902
0.024500    308.420013     308.420013
0.025000    310.885345     310.885345
0.025500    313.156403     313.156403
0.026000    315.231750     315.231750
0.026500    317.110077     317.110077
0.027000    318.790253     318.790253
0.027500    320.271149     320.271149
0.028000    321.551910     321.551910
0.028500    322.631714     322.631714
0.029000    323.509888     323.509888
0.029500    324.185883     324.185883
0.030000    324.659241     324.659241
0.030500    324.929718     324.929718
0.031000    324.997131     324.997131
0.031500    324.861420     324.861420
0.032000    324.522675     324.522675
0.032500    323.981140     323.981140
0.033000    323.237091     323.237091
0.033500    322.291077     322.291077
0.034000    321.143585     321.143585
0.034500    319.795441     319.795441
0.035000    318.247406     318.247406
0.035500    316.500488     316.500488
